Temp,Densidad,Calor Esp,Cond. Ter.,Dif. Ter.,Visc. Din.,Visc. Cin,Numero de Prandtl
-150,2.866,983,0.01171,0.000004158,0.000008636,0.000003013,0.7246
-149,2.849,983,0.01464,0.000004236,8.48706E-006,3.06948E-006,0.7246
-148,2.833,982,0.01757,0.000004313,8.33812E-006,0.000003126,0.7247
-147,2.816,982,0.02050,0.000004391,8.18918E-006,3.18244E-006,0.7247
-146,2.800,982,0.02343,0.000004468,8.04024E-006,3.23892E-006,0.7247
-145,2.783,981,0.02636,0.000004546,7.8913E-006,3.2954E-006,0.7248
-144,2.767,981,0.02929,0.000004623,7.74236E-006,3.35188E-006,0.7248
-143,2.750,981,0.03222,0.000004701,7.59342E-006,3.40836E-006,0.7248
-142,2.734,980,0.03515,0.000004778,7.44448E-006,3.46484E-006,0.7249
-141,2.717,980,0.03808,0.000004856,7.29554E-006,3.52132E-006,0.7249
-140,2.700,980,0.04101,0.000004934,7.1466E-006,3.5778E-006,0.7249
-139,2.684,979,0.04394,0.000005011,6.99766E-006,3.63428E-006,0.7250
-138,2.667,979,0.04687,0.000005089,6.84872E-006,3.69076E-006,0.7250
-137,2.651,979,0.04980,0.000005166,6.69978E-006,3.74724E-006,0.7250
-136,2.634,978,0.05273,0.000005244,6.55084E-006,3.80372E-006,0.7251
-135,2.618,978,0.05566,0.000005321,6.4019E-006,3.8602E-006,0.7251
-134,2.601,978,0.05859,0.000005399,0.000006253,3.91668E-006,0.7251
-133,2.584,977,0.06152,0.000005477,0.000006104,3.97316E-006,0.7252
-132,2.568,977,0.06445,0.000005554,5.95508E-006,4.02964E-006,0.7252
-131,2.551,977,0.06738,0.000005632,5.80614E-006,4.08612E-006,0.7252
-130,2.535,976,0.07031,0.000005709,5.6572E-006,4.1426E-006,0.7253
-129,2.518,976,0.07324,0.000005787,5.50826E-006,4.19908E-006,0.7253
-128,2.502,976,0.07617,0.000005864,5.35932E-006,4.25556E-006,0.7253
-127,2.485,975,0.07910,0.000005942,5.21038E-006,0.000004312,0.7254
-126,2.469,975,0.08203,0.000006019,5.06144E-006,4.36852E-006,0.7254
-125,2.452,975,0.08496,0.000006097,4.9125E-006,0.000004425,0.7255
-124,2.435,974,0.08788,0.000006175,4.76356E-006,4.48148E-006,0.7255
-123,2.419,974,0.09081,0.000006252,4.61462E-006,0.000004538,0.7255
-122,2.402,973,0.09374,0.000006330,4.46568E-006,4.59444E-006,0.7256
-121,2.386,973,0.09667,0.000006407,4.31674E-006,4.65092E-006,0.7256
-120,2.369,973,0.09960,0.000006485,4.1678E-006,4.7074E-006,0.7256
-119,2.353,972,0.10253,0.000006562,4.01886E-006,4.76388E-006,0.7257
-118,2.336,972,0.10546,0.000006640,3.86992E-006,4.82036E-006,0.7257
-117,2.320,972,0.10839,0.000006717,0.000003721,4.87684E-006,0.7257
-116,2.303,971,0.11132,0.000006795,0.000003572,4.93332E-006,0.7258
-115,2.286,971,0.11425,0.000006873,3.4231E-006,4.9898E-006,0.7258
-114,2.270,971,0.11718,0.000006950,3.27416E-006,5.04628E-006,0.7258
-113,2.253,970,0.12011,0.000007028,3.12522E-006,5.10276E-006,0.7259
-112,2.237,970,0.12304,0.000007105,2.97628E-006,5.15924E-006,0.7259
-111,2.220,970,0.12597,0.000007183,2.82734E-006,5.21572E-006,0.7259
-110,2.204,969,0.12890,0.000007260,2.6784E-006,5.2722E-006,0.7260
-109,2.187,969,0.13183,0.000007338,2.52946E-006,5.32868E-006,0.7260
-108,2.170,969,0.13476,0.000007416,2.38052E-006,5.38516E-006,0.7260
-107,2.154,968,0.13769,0.000007493,2.23158E-006,5.44164E-006,0.7261
-106,2.137,968,0.14062,0.000007571,2.08264E-006,5.49812E-006,0.7261
-105,2.121,968,0.14355,0.000007648,1.9337E-006,5.5546E-006,0.7261
-104,2.104,967,0.14648,0.000007726,1.78476E-006,5.61108E-006,0.7262
-103,2.088,967,0.14941,0.000007803,1.63582E-006,5.66756E-006,0.7262
-102,2.071,967,0.15234,0.000007881,1.48688E-006,0.000005724,0.7262
-101,2.055,966,0.15527,0.000007958,1.33794E-006,5.78052E-006,0.7263
-100,2.038,966,0.15820,0.000008036,0.000001189,0.000005837,0.7263
-99,2.029,991,0.15543,0.000008126,0.00000146,5.90664E-006,0.7267
-98,2.020,991,0.15266,0.000008215,0.000001731,5.97628E-006,0.7270
-97,2.011,991,0.14990,0.000008305,2.00206E-006,6.04592E-006,0.7274
-96,2.002,992,0.14713,0.000008395,2.27308E-006,6.11556E-006,0.7277
-95,1.992,992,0.14436,0.000008484,2.5441E-006,6.1852E-006,0.7281
-94,1.983,992,0.14159,0.000008574,2.81512E-006,6.25484E-006,0.7284
-93,1.974,992,0.13882,0.000008664,3.08614E-006,6.32448E-006,0.7288
-92,1.965,992,0.13605,0.000008753,3.35716E-006,6.39412E-006,0.7291
-91,1.956,992,0.13329,0.000008843,3.62818E-006,6.46376E-006,0.7295
-90,1.947,993,0.13052,0.000008933,3.8992E-006,6.5334E-006,0.7298
-89,1.938,993,0.12775,0.000009022,4.17022E-006,0.000006603,0.7302
-88,1.929,993,0.12498,0.000009112,4.44124E-006,6.67268E-006,0.7305
-87,1.919,993,0.12221,0.000009202,4.71226E-006,6.74232E-006,0.7309
-86,1.910,993,0.11945,0.000009292,4.98328E-006,0.000006812,0.7313
-85,1.901,993,0.11668,0.000009381,5.2543E-006,6.8816E-006,0.7316
-84,1.892,994,0.11391,0.000009471,5.52532E-006,6.95124E-006,0.7320
-83,1.883,994,0.11114,0.000009561,5.79634E-006,7.02088E-006,0.7323
-82,1.874,994,0.10837,0.000009650,6.06736E-006,7.09052E-006,0.7327
-81,1.865,994,0.10560,0.000009740,6.33838E-006,7.16016E-006,0.7330
-80,1.856,994,0.10284,0.000009830,6.6094E-006,7.2298E-006,0.7334
-79,1.846,994,0.10007,0.000009919,6.88042E-006,7.29944E-006,0.7337
-78,1.837,995,0.09730,0.000010009,7.15144E-006,7.36908E-006,0.7341
-77,1.828,995,0.09453,0.000010099,7.42246E-006,7.43872E-006,0.7344
-76,1.819,995,0.09176,0.000010188,7.69348E-006,7.50836E-006,0.7348
-75,1.810,995,0.08900,0.000010278,7.9645E-006,0.000007578,0.7352
-74,1.801,995,0.08623,0.000010368,8.23552E-006,7.64764E-006,0.7355
-73,1.792,995,0.08346,0.000010457,8.50654E-006,7.71728E-006,0.7359
-72,1.783,995,0.08069,0.000010547,8.77756E-006,7.78692E-006,0.7362
-71,1.774,996,0.07792,0.000010637,9.04858E-006,7.85656E-006,0.7366
-70,1.764,996,0.07515,0.000010726,9.3196E-006,7.9262E-006,0.7369
-69,1.755,996,0.07239,0.000010816,9.59062E-006,7.99584E-006,0.7373
-68,1.746,996,0.06962,0.000010906,9.86164E-006,8.06548E-006,0.7376
-67,1.737,996,0.06685,0.000010995,1.013266E-005,8.13512E-006,0.7380
-66,1.728,996,0.06408,0.000011085,1.040368E-005,8.20476E-006,0.7383
-65,1.719,997,0.06131,0.000011175,1.06747E-005,8.2744E-006,0.7387
-64,1.710,997,0.05854,0.000011264,1.094572E-005,0.000008344,0.7390
-63,1.701,997,0.05578,0.000011354,1.121674E-005,8.41368E-006,0.7394
-62,1.691,997,0.05301,0.000011444,1.148776E-005,8.48332E-006,0.7398
